Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,RClose
2023-07-11 00:00:00+08:00,0.410000,0.410000,0.410000,0.410000,0,0.000000,0.000000,0.410000
2023-07-12 00:00:00+08:00,0.410000,0.410000,0.410000,0.410000,0,0.000000,0.000000,0.410000
2023-07-13 00:00:00+08:00,0.410000,0.410000,0.410000,0.410000,0,0.000000,0.000000,0.410000
2023-07-14 00:00:00+08:00,0.410000,0.410000,0.410000,0.410000,0,0.000000,0.000000,0.410000
2023-07-17 00:00:00+08:00,0.415000,0.415000,0.415000,0.415000,7000,0.000000,0.000000,0.415000
2023-07-18 00:00:00+08:00,0.415000,0.415000,0.415000,0.415000,0,0.000000,0.000000,0.415000
2023-07-19 00:00:00+08:00,0.415000,0.415000,0.415000,0.415000,0,0.000000,0.000000,0.415000
2023-07-20 00:00:00+08:00,0.415000,0.415000,0.415000,0.415000,0,0.000000,0.000000,0.415000
2023-07-21 00:00:00+08:00,0.415000,0.415000,0.415000,0.415000,0,0.000000,0.000000,0.415000
2023-07-24 00:00:00+08:00,0.410000,0.410000,0.410000,0.410000,1200,0.000000,0.000000,0.410000
2023-07-25 00:00:00+08:00,0.410000,0.410000,0.410000,0.410000,0,0.000000,0.000000,0.410000
2023-07-26 00:00:00+08:00,0.410000,0.410000,0.410000,0.410000,0,0.000000,0.000000,0.410000
2023-07-27 00:00:00+08:00,0.410000,0.410000,0.410000,0.410000,0,0.000000,0.000000,0.410000
2023-07-28 00:00:00+08:00,0.410000,0.410000,0.410000,0.410000,0,0.000000,0.000000,0.410000
2023-07-31 00:00:00+08:00,0.410000,0.410000,0.405000,0.405000,10000,0.000000,0.000000,0.405000
2023-08-01 00:00:00+08:00,0.415000,0.420000,0.400000,0.420000,20000,0.000000,0.000000,0.420000
2023-08-02 00:00:00+08:00,0.415000,0.415000,0.415000,0.415000,5000,0.000000,0.000000,0.415000
2023-08-03 00:00:00+08:00,0.415000,0.415000,0.415000,0.415000,0,0.000000,0.000000,0.415000
2023-08-04 00:00:00+08:00,0.415000,0.415000,0.415000,0.415000,0,0.000000,0.000000,0.415000
2023-08-07 00:00:00+08:00,0.415000,0.415000,0.415000,0.415000,0,0.000000,0.000000,0.415000
2023-08-08 00:00:00+08:00,0.415000,0.415000,0.415000,0.415000,0,0.000000,0.000000,0.415000
2023-08-10 00:00:00+08:00,0.415000,0.415000,0.415000,0.415000,0,0.000000,0.000000,0.415000
2023-08-11 00:00:00+08:00,0.415000,0.415000,0.415000,0.415000,0,0.000000,0.000000,0.415000
2023-08-14 00:00:00+08:00,0.415000,0.415000,0.415000,0.415000,0,0.000000,0.000000,0.415000
2023-08-15 00:00:00+08:00,0.415000,0.415000,0.415000,0.415000,0,0.000000,0.000000,0.415000
2023-08-16 00:00:00+08:00,0.415000,0.415000,0.415000,0.415000,0,0.000000,0.000000,0.415000
2023-08-17 00:00:00+08:00,0.415000,0.415000,0.415000,0.415000,0,0.000000,0.000000,0.415000
2023-08-18 00:00:00+08:00,0.435000,0.435000,0.435000,0.435000,7500,0.000000,0.000000,0.435000
2023-08-21 00:00:00+08:00,0.435000,0.435000,0.435000,0.435000,0,0.000000,0.000000,0.435000
2023-08-22 00:00:00+08:00,0.435000,0.435000,0.435000,0.435000,0,0.000000,0.000000,0.435000
2023-08-23 00:00:00+08:00,0.435000,0.435000,0.435000,0.435000,0,0.000000,0.000000,0.435000
2023-08-24 00:00:00+08:00,0.435000,0.435000,0.435000,0.435000,0,0.000000,0.000000,0.435000
2023-08-25 00:00:00+08:00,0.435000,0.435000,0.435000,0.435000,0,0.000000,0.000000,0.435000
2023-08-28 00:00:00+08:00,0.435000,0.435000,0.435000,0.435000,0,0.000000,0.000000,0.435000
2023-08-29 00:00:00+08:00,0.435000,0.435000,0.435000,0.435000,0,0.000000,0.000000,0.435000
2023-08-30 00:00:00+08:00,0.435000,0.435000,0.435000,0.435000,0,0.000000,0.000000,0.435000
2023-08-31 00:00:00+08:00,0.435000,0.435000,0.435000,0.435000,0,0.000000,0.000000,0.435000
2023-09-04 00:00:00+08:00,0.430000,0.430000,0.430000,0.430000,10000,0.000000,0.000000,0.430000
2023-09-05 00:00:00+08:00,0.430000,0.430000,0.430000,0.430000,0,0.000000,0.000000,0.430000
2023-09-06 00:00:00+08:00,0.430000,0.430000,0.430000,0.430000,0,0.000000,0.000000,0.430000
2023-09-07 00:00:00+08:00,0.430000,0.430000,0.430000,0.430000,0,0.000000,0.000000,0.430000
2023-09-08 00:00:00+08:00,0.430000,0.430000,0.430000,0.430000,0,0.000000,0.000000,0.430000
2023-09-11 00:00:00+08:00,0.430000,0.430000,0.430000,0.430000,0,0.000000,0.000000,0.430000
2023-09-12 00:00:00+08:00,0.430000,0.430000,0.430000,0.430000,0,0.000000,0.000000,0.430000
2023-09-13 00:00:00+08:00,0.430000,0.430000,0.430000,0.430000,0,0.000000,0.000000,0.430000
2023-09-14 00:00:00+08:00,0.430000,0.430000,0.430000,0.430000,0,0.000000,0.000000,0.430000
2023-09-15 00:00:00+08:00,0.430000,0.430000,0.430000,0.430000,0,0.000000,0.000000,0.430000
2023-09-18 00:00:00+08:00,0.430000,0.430000,0.430000,0.430000,0,0.000000,0.000000,0.430000
2023-09-19 00:00:00+08:00,0.430000,0.430000,0.430000,0.430000,0,0.000000,0.000000,0.430000
2023-09-20 00:00:00+08:00,0.430000,0.430000,0.430000,0.430000,0,0.000000,0.000000,0.430000
2023-09-21 00:00:00+08:00,0.430000,0.430000,0.430000,0.430000,0,0.000000,0.000000,0.430000
2023-09-22 00:00:00+08:00,0.430000,0.430000,0.430000,0.430000,0,0.000000,0.000000,0.430000
2023-09-25 00:00:00+08:00,0.430000,0.430000,0.430000,0.430000,0,0.000000,0.000000,0.430000
2023-09-26 00:00:00+08:00,0.410000,0.410000,0.410000,0.410000,20000,0.000000,0.000000,0.410000
2023-09-27 00:00:00+08:00,0.415000,0.415000,0.415000,0.415000,20000,0.000000,0.000000,0.415000
2023-09-28 00:00:00+08:00,0.415000,0.415000,0.415000,0.415000,0,0.000000,0.000000,0.415000
2023-09-29 00:00:00+08:00,0.420000,0.435000,0.420000,0.435000,30000,0.000000,0.000000,0.435000
2023-10-02 00:00:00+08:00,0.435000,0.435000,0.435000,0.435000,0,0.000000,0.000000,0.435000
2023-10-03 00:00:00+08:00,0.435000,0.435000,0.435000,0.435000,0,0.000000,0.000000,0.435000
2023-10-04 00:00:00+08:00,0.435000,0.435000,0.435000,0.435000,0,0.000000,0.000000,0.435000
2023-10-05 00:00:00+08:00,0.435000,0.435000,0.435000,0.435000,0,0.000000,0.000000,0.435000
2023-10-06 00:00:00+08:00,0.435000,0.435000,0.435000,0.435000,0,0.000000,0.000000,0.435000
2023-10-09 00:00:00+08:00,0.430000,0.430000,0.430000,0.430000,10000,0.000000,0.000000,0.430000
2023-10-10 00:00:00+08:00,0.430000,0.430000,0.430000,0.430000,0,0.000000,0.000000,0.430000
2023-10-11 00:00:00+08:00,0.430000,0.430000,0.430000,0.430000,0,0.000000,0.000000,0.430000
2023-10-12 00:00:00+08:00,0.430000,0.430000,0.430000,0.430000,0,0.000000,0.000000,0.430000
2023-10-13 00:00:00+08:00,0.430000,0.430000,0.430000,0.430000,0,0.000000,0.000000,0.430000
2023-10-16 00:00:00+08:00,0.430000,0.430000,0.430000,0.430000,0,0.000000,0.000000,0.430000
2023-10-17 00:00:00+08:00,0.430000,0.430000,0.430000,0.430000,0,0.000000,0.000000,0.430000
2023-10-18 00:00:00+08:00,0.430000,0.430000,0.430000,0.430000,0,0.000000,0.000000,0.430000
2023-10-19 00:00:00+08:00,0.430000,0.430000,0.430000,0.430000,0,0.000000,0.000000,0.430000
2023-10-20 00:00:00+08:00,0.430000,0.430000,0.430000,0.430000,0,0.000000,0.000000,0.430000
2023-10-23 00:00:00+08:00,0.430000,0.430000,0.430000,0.430000,0,0.000000,0.000000,0.430000
2023-10-24 00:00:00+08:00,0.430000,0.430000,0.430000,0.430000,0,0.000000,0.000000,0.430000
2023-10-25 00:00:00+08:00,0.430000,0.430000,0.430000,0.430000,0,0.000000,0.000000,0.430000
2023-10-26 00:00:00+08:00,0.430000,0.430000,0.430000,0.430000,0,0.000000,0.000000,0.430000
2023-10-27 00:00:00+08:00,0.430000,0.430000,0.430000,0.430000,0,0.000000,0.000000,0.430000
2023-10-30 00:00:00+08:00,0.430000,0.430000,0.430000,0.430000,0,0.000000,0.000000,0.430000
2023-10-31 00:00:00+08:00,0.430000,0.430000,0.430000,0.430000,0,0.000000,0.000000,0.430000
2023-11-01 00:00:00+08:00,0.430000,0.430000,0.430000,0.430000,0,0.000000,0.000000,0.430000
2023-11-02 00:00:00+08:00,0.430000,0.430000,0.430000,0.430000,0,0.000000,0.000000,0.430000
2023-11-03 00:00:00+08:00,0.430000,0.430000,0.430000,0.430000,0,0.000000,0.000000,0.430000
2023-11-06 00:00:00+08:00,0.430000,0.430000,0.430000,0.430000,0,0.000000,0.000000,0.430000
2023-11-07 00:00:00+08:00,0.430000,0.430000,0.430000,0.430000,0,0.000000,0.000000,0.430000
2023-11-08 00:00:00+08:00,0.430000,0.430000,0.430000,0.430000,0,0.000000,0.000000,0.430000
2023-11-09 00:00:00+08:00,0.430000,0.430000,0.430000,0.430000,0,0.000000,0.000000,0.430000
2023-11-10 00:00:00+08:00,0.430000,0.430000,0.430000,0.430000,0,0.000000,0.000000,0.430000
2023-11-14 00:00:00+08:00,0.430000,0.430000,0.430000,0.430000,0,0.000000,0.000000,0.430000
2023-11-15 00:00:00+08:00,0.430000,0.430000,0.430000,0.430000,0,0.000000,0.000000,0.430000
2023-11-16 00:00:00+08:00,0.430000,0.430000,0.430000,0.430000,0,0.000000,0.000000,0.430000
2023-11-17 00:00:00+08:00,0.430000,0.430000,0.430000,0.430000,0,0.000000,0.000000,0.430000
2023-11-20 00:00:00+08:00,0.430000,0.430000,0.430000,0.430000,0,0.000000,0.000000,0.430000
2023-11-21 00:00:00+08:00,0.430000,0.430000,0.430000,0.430000,0,0.000000,0.000000,0.430000
2023-11-22 00:00:00+08:00,0.350000,0.350000,0.350000,0.350000,25000,0.000000,0.000000,0.350000
2023-11-23 00:00:00+08:00,0.350000,0.350000,0.350000,0.350000,0,0.000000,0.000000,0.350000
2023-11-24 00:00:00+08:00,0.430000,0.440000,0.420000,0.420000,5100,0.000000,0.000000,0.420000
2023-11-27 00:00:00+08:00,0.420000,0.420000,0.420000,0.420000,0,0.000000,0.000000,0.420000
2023-11-28 00:00:00+08:00,0.420000,0.420000,0.420000,0.420000,0,0.000000,0.000000,0.420000
2023-11-29 00:00:00+08:00,0.410000,0.415000,0.400000,0.410000,19500,0.000000,0.000000,0.410000
2023-11-30 00:00:00+08:00,0.400000,0.400000,0.400000,0.400000,2000,0.000000,0.000000,0.400000
2023-12-01 00:00:00+08:00,0.410000,0.410000,0.300000,0.300000,1500,0.000000,0.000000,0.300000
2023-12-04 00:00:00+08:00,0.405000,0.410000,0.400000,0.405000,6300,0.000000,0.000000,0.405000
2023-12-05 00:00:00+08:00,0.405000,0.405000,0.405000,0.405000,0,0.000000,0.000000,0.405000
2023-12-06 00:00:00+08:00,0.405000,0.405000,0.400000,0.400000,11900,0.000000,0.000000,0.400000
2023-12-07 00:00:00+08:00,0.400000,0.400000,0.400000,0.400000,0,0.000000,0.000000,0.400000
2023-12-08 00:00:00+08:00,0.390000,0.390000,0.390000,0.390000,5700,0.000000,0.000000,0.390000
